City,Country,Latitude,Temperature,Humidity,Cloudiness,Windspeed,Date
kavieng,PG,-2.5744,83.25,74,99,8.03,1647859790
yulara,AU,-25.2406,91.24,16,1,9.22,1647859791
puerto cabezas,NI,14.0351,74.44,88,85,9.89,1647859792
cape town,ZA,-33.9258,85.12,49,0,11.5,1647859792
mayo,US,38.8876,47.1,66,0,5.75,1647859793
norman wells,CA,65.282,-3.96,77,100,16.11,1647859794
aklavik,CA,68.2191,-10.68,96,100,5.32,1647859795
port alfred,ZA,-33.5906,80.04,65,1,14.67,1647859796
faanui,PF,-16.4833,81.16,74,30,17.49,1647859797
hithadhoo,MV,-0.6,83.44,73,52,16.64,1647859798
tutoia,BR,-2.7619,78.53,87,97,7.36,1647859799
bayir,TR,37.2687,50.52,34,2,5.48,1647859800
mana,GF,5.6592,78.12,82,90,9.78,1647859801
hays,US,30.0502,60.82,79,100,1.99,1647859771
sao jose da coroa grande,BR,-8.8978,81.0,79,94,7.36,1647859804
cabo san lucas,MX,22.8909,65.61,61,95,14.38,1647859804
nicoya,CR,10.1483,75.09,74,93,11.07,1647859805
charters towers,AU,-20.1,74.53,70,38,8.9,1647859806
axim,GH,4.8699,85.86,67,76,7.18,1647859807
airai,TL,-8.9266,61.77,94,100,1.25,1647859808
opuwo,NA,-18.0607,86.86,39,51,9.42,1647859808
tiksi,RU,71.6872,-12.82,96,27,1.97,1647859809
chuy,UY,-33.6971,65.41,52,81,12.01,1647859810
east london,ZA,-33.0153,79.74,69,0,13.8,1647859811
phan thiet,VN,10.9333,80.78,79,96,8.79,1647859643
tiarei,PF,-17.5333,78.82,76,15,18.97,1647859812
kahului,US,20.8947,73.85,84,100,4.61,1647859813
lamballe,FR,48.4676,61.0,73,21,1.99,1647859814
banda aceh,ID,5.5577,83.73,76,93,12.82,1647859815
baykit,RU,61.67,23.07,92,100,7.87,1647859815
atuona,PF,-9.8,78.31,81,66,16.49,1647859816
bambous virieux,MU,-20.3428,87.22,83,40,6.91,1647859817
pushkino,RU,56.0172,50.29,72,16,10.98,1647859818
dunedin,NZ,-45.8742,58.8,93,100,7.0,1647859819
praia da vitoria,PT,38.7333,53.76,87,40,18.05,1647859820
moche,PE,-8.1711,64.58,94,100,4.61,1647859821
geraldton,AU,-28.7667,73.81,73,0,20.71,1647859821
castro,BR,-24.7911,58.93,88,99,8.48,1647859822
beringovskiy,RU,63.05,22.12,96,100,8.79,1647859823
namibe,AO,-15.1961,83.21,57,69,7.34,1647859825
prince rupert,CA,54.3161,44.29,93,100,25.32,1647859826
barber,CW,12.2833,76.98,78,20,13.8,1647859826
hermanus,ZA,-34.4187,87.8,62,2,14.03,1647859827
pangnirtung,CA,66.1451,-14.98,68,70,5.48,1647859829
eydhafushi,MV,5.1033,83.53,66,1,13.85,1647859829
vaini,TO,-21.2,78.96,89,100,5.75,1647859830
lebu,CL,-37.6167,54.84,91,52,0.89,1647859831
poronaysk,RU,49.2167,17.11,84,71,10.13,1647859832
juneau,US,58.3019,35.22,94,100,0.0,1647859832
comodoro rivadavia,AR,-45.8667,58.86,63,0,5.75,1647859599
bogomila,MK,41.5931,44.78,37,16,10.2,1647859834
myaundzha,RU,63.0494,10.36,83,100,8.28,1647859835
masaka,UG,-0.3338,83.57,41,87,13.27,1647859835
balakhta,RU,55.38,26.1,81,70,6.08,1647859836
buraydah,SA,26.326,77.45,20,0,6.82,1647859837
norsup,VU,-16.0667,79.74,83,100,3.58,1647859838
port-gentil,GA,-0.7193,85.96,74,40,9.22,1647859839
hasaki,JP,35.7333,45.28,55,47,11.03,1647859840
ugoofaaru,MV,5.6667,83.61,65,3,13.85,1647859841
atlantic beach,US,30.3344,53.62,90,0,0.0,1647859842
aksarka,RU,66.5606,12.7,90,70,14.54,1647859842
kapaa,US,22.0752,71.58,100,40,6.91,1647859843
pevek,RU,69.7008,-3.8,88,78,3.42,1647859844
kloulklubed,PW,7.0419,83.28,79,88,16.73,1647859845
kangaatsiaq,GL,68.3065,-19.12,90,11,9.93,1647859845
caravelas,BR,-17.7125,81.05,72,9,3.24,1647859846
sao filipe,CV,14.8961,70.23,71,18,10.27,1647859847
along,IN,28.1667,72.07,68,85,4.41,1647859848
lorengau,PG,-2.0226,82.15,76,98,0.98,1647859849
ishigaki,JP,24.3448,73.53,94,75,10.36,1647859850
mandalgovi,MN,45.7625,22.75,46,0,4.12,1647859850
faya,SA,18.3851,73.51,43,4,13.85,1647859851
khatanga,RU,71.9667,0.41,97,100,6.55,1647859852
kalmunai,LK,7.4167,84.27,72,61,13.11,1647859853
ballina,AU,-28.8667,73.36,76,75,11.5,1647859854
klaksvik,FO,62.2266,45.52,88,87,17.49,1647859855
clyde river,CA,70.4692,-14.57,70,75,14.97,1647859856
buala,SB,-8.145,80.04,75,43,3.18,1647859857
saint anthony,US,45.0205,50.54,55,0,12.66,1647859832
ajaigarh,IN,24.9,101.64,7,5,13.31,1647859858
carberry,CA,49.8689,35.83,92,100,9.37,1647859859
muros,ES,42.7762,64.69,72,77,4.68,1647859859
new norfolk,AU,-42.7826,64.9,58,100,1.83,1647859860
cherskiy,RU,68.75,15.49,71,100,7.78,1647859861
west bay,KY,19.3667,80.01,81,0,4.0,1647859862
tshikapa,CD,-6.4167,90.61,52,99,1.92,1647859863
vostok,RU,46.4856,19.26,92,95,8.43,1647859863
cabedelo,BR,-6.9811,81.36,77,92,10.56,1647859864
penzance,GB,50.1186,56.08,82,20,24.16,1647859865
hobart,AU,-42.8794,65.26,83,0,1.99,1647859859
port blair,IN,11.6667,80.64,83,100,6.91,1647859866
at-bashi,KG,41.1702,35.65,74,100,2.24,1647859867
vila velha,BR,-20.3297,78.94,84,20,2.3,1647859868
xuddur,SO,4.1213,97.18,20,71,13.71,1647859869
deggendorf,DE,48.8333,58.78,31,0,5.84,1647859870
pochutla,MX,15.7432,74.82,65,0,3.04,1647859870
saskylakh,RU,71.9167,1.17,100,97,1.86,1647859871
kamen-rybolov,RU,44.7481,29.93,83,97,8.9,1647859873
ancud,CL,-41.8697,57.22,96,87,6.17,1647859873
vila franca do campo,PT,37.7167,59.41,71,96,17.38,1647859874
kruisfontein,ZA,-34.0033,84.88,48,0,13.29,1647859875
la tuque,CA,47.4334,32.25,74,82,4.61,1647859630
xai-xai,MZ,-25.0519,79.34,55,83,11.21,1647859595
grindavik,IS,63.8424,36.07,75,100,12.66,1647859878
skjervoy,NO,70.0311,38.98,71,92,43.15,1647859878
uyemskiy,RU,64.4743,41.05,56,20,6.71,1647859879
borogontsy,RU,62.6683,-4.27,97,75,3.0,1647859880
te anau,NZ,-45.4167,52.77,89,81,1.77,1647859881
esperance,AU,-33.8667,62.44,84,100,18.99,1647859881
murray bridge,AU,-35.1167,63.82,85,74,9.13,1647859882
acapulco,MX,16.8634,74.82,59,20,6.26,1647859883
hamilton,US,39.1834,48.24,74,0,6.91,1647859800
ouegoa,NC,-20.35,77.88,83,71,4.61,1647859884
kutum,SD,14.2,87.94,4,0,4.09,1647859885
bethel,US,41.3712,43.11,70,0,4.61,1647859886
gandorhun,SL,7.5,90.91,46,82,3.62,1647859887
nikolskoye,RU,59.7035,48.09,80,12,7.61,1647859888
bathsheba,BB,13.2167,75.81,73,40,14.97,1647859889
newala,TZ,-10.9431,76.51,81,84,2.42,1647859890
karratha,AU,-20.7377,88.77,58,100,15.12,1647859891
kirakira,SB,-10.4544,80.85,74,42,1.28,1647859892
beneditinos,BR,-5.45,78.26,78,3,2.86,1647859892
ponta do sol,PT,32.6667,66.0,56,66,7.11,1647859893
vung tau,VN,10.346,81.66,79,100,13.09,1647859853
muscat,OM,23.6139,83.3,38,0,7.54,1647859895
lebedinyy,RU,58.5167,17.73,95,100,15.19,1647859896
luanda,AO,-8.8368,84.2,74,75,4.61,1647859831
grand forks,US,47.9417,39.13,65,100,5.75,1647859897
avera,US,33.194,43.38,65,0,7.0,1647859898
ngunguru,NZ,-35.6167,67.82,90,20,10.63,1647859899
kaitangata,NZ,-46.2817,59.22,89,80,13.73,1647859900
buenos aires,AR,-34.6132,62.94,77,75,13.8,1647859742
nyurba,RU,63.2842,5.18,96,83,2.93,1647859902
isabela,PH,6.7085,78.85,88,96,5.46,1647859903
gorom-gorom,BF,14.4439,99.14,9,35,11.05,1647859904
xining,CN,36.6167,40.64,55,100,8.08,1647859905
hami,CN,42.8,45.95,28,100,11.5,1647859906
laguna,US,38.421,51.64,80,0,3.44,1647859874
ribeira grande,PT,38.5167,54.0,82,40,20.71,1647859907
fort nelson,CA,58.8053,15.39,86,75,4.61,1647859832
sabang,ID,5.8933,83.82,75,88,20.8,1647859908
thompson,CA,55.7435,10.56,79,20,6.91,1647859909
najran,SA,17.4924,83.05,17,24,22.39,1647859910
uarini,BR,-2.99,72.1,98,100,1.28,1647859911
tabuk,PH,17.4189,76.28,88,45,4.09,1647859911
garmsar,IR,35.2182,70.63,15,91,4.16,1647859912
puerto escondido,MX,15.85,77.54,64,0,5.57,1647859913
brekstad,NO,63.687,46.49,53,0,4.61,1647859914
saldanha,ZA,-33.0117,87.85,76,22,13.53,1647859914
maryville,US,35.7565,45.48,77,20,1.01,1647859770
leh,IN,34.1667,34.48,55,7,2.71,1647859917
chara,RU,56.9064,10.83,81,100,2.91,1647859918
ossora,RU,59.2353,32.36,96,100,19.69,1647859919
upernavik,GL,72.7868,-18.99,78,36,4.07,1647859920
torbay,CA,47.6666,33.28,96,100,20.71,1647859921
mbandaka,CD,0.0487,87.93,52,99,5.61,1647859922
nome,US,64.5011,-0.33,78,0,0.0,1647859887
chicama,PE,-7.8447,63.14,82,98,3.53,1647859924
arraial do cabo,BR,-22.9661,71.56,94,100,19.57,1647859925
fuzhou,CN,26.0614,57.09,92,96,2.64,1647859925
hay river,CA,60.8156,22.98,93,100,12.66,1647859926
mopti,ML,14.6667,99.27,8,40,13.4,1647859912
rocha,UY,-34.4833,61.34,56,24,7.74,1647859928
pipri,IN,19.8,97.79,10,15,12.93,1647859928
churapcha,RU,62.0025,-4.81,90,71,1.57,1647859929
chokurdakh,RU,70.6333,-2.67,85,100,8.75,1647859930
hanko,FI,59.8333,35.71,88,0,12.17,1647859931
san jose,US,37.3394,48.81,81,0,1.99,1647859666
berlevag,NO,70.8578,39.2,81,100,36.22,1647859932
nishihara,JP,26.1842,72.68,81,40,14.97,1647859933
benjamin aceval,PY,-24.9667,71.74,66,0,6.2,1647859934
victor harbor,AU,-35.5667,63.0,85,57,6.62,1647859935
iqaluit,CA,63.7506,-6.07,77,100,0.0,1647859935
plainview,US,40.7765,44.74,66,0,8.05,1647859936
dilla,ET,6.41,72.91,66,67,4.07,1647859937
pisco,PE,-13.7,66.25,88,100,8.05,1647859938
nanortalik,GL,60.1432,15.62,64,0,2.75,1647859938
coihaique,CL,-45.5752,49.95,87,40,4.61,1647859690
kupang,ID,-10.1667,79.21,84,99,2.86,1647859940
mabopane,ZA,-25.4977,70.18,33,79,3.94,1647859941
belmonte,BR,-15.8631,78.06,82,31,4.72,1647859941
gayny,RU,60.3071,30.61,80,100,13.22,1647859942
dikson,RU,73.5069,-7.35,100,45,5.08,1647859943
saint-philippe,RE,-21.3585,80.19,88,98,12.41,1647859944
tateyama,JP,34.9833,51.1,77,100,11.05,1647859945
japura,ID,-0.3167,84.69,65,88,1.48,1647859945
mizdah,LY,31.4451,55.53,45,72,14.9,1647859946
yulin,CN,22.6333,83.05,68,54,12.28,1647859947
teya,RU,60.3778,21.94,86,100,11.7,1647859948
andra,RU,62.5147,27.68,85,99,15.55,1647859948
carnarvon,AU,-24.8667,80.67,74,44,19.57,1647859949
faridpur,BD,23.6,95.38,24,4,1.25,1647859950
maniitsoq,GL,65.4167,-9.92,72,1,4.94,1647859952
tuatapere,NZ,-46.1333,53.67,94,74,3.04,1647859953
pasinler,TR,39.9803,20.39,85,92,3.27,1647859953
salinopolis,BR,-0.6136,77.14,90,100,3.02,1647859954
oranjestad,AW,12.524,78.75,73,20,17.27,1647859955
sistranda,NO,63.7256,46.36,66,0,5.03,1647859956
touros,BR,-5.1989,83.03,72,58,8.37,1647859957
dicabisagan,PH,17.0818,79.07,87,23,4.03,1647859957
hambantota,LK,6.1241,93.54,62,40,10.36,1647859958
paamiut,GL,61.994,-2.16,89,22,8.66,1647859960
jasper,US,37.2001,56.68,48,0,8.05,1647859831
necochea,AR,-38.5473,54.95,72,100,12.55,1647859765
guna,IN,24.65,96.39,8,1,12.21,1647859963
takoradi,GH,4.8845,85.21,69,84,6.87,1647859963
san joaquin,US,37.9333,51.93,69,0,6.91,1647859964
poum,NC,-20.2333,80.28,75,59,17.29,1647859965
kavaratti,IN,10.5669,82.15,66,10,9.08,1647859966
sumbe,AO,-11.2061,83.88,74,95,8.86,1647859966
ostersund,SE,63.1792,43.25,36,1,2.3,1647859948
kodiak,US,57.79,35.11,75,0,14.97,1647859899
chihuahua,MX,28.5,48.7,40,6,27.74,1647859698
general roca,AR,-39.0333,56.62,53,1,5.75,1647859970
nazare,BR,-13.035,80.83,70,8,3.53,1647859782
imeni poliny osipenko,RU,52.4201,12.94,73,78,9.17,1647859974
scottsbluff,US,41.8666,37.63,70,100,23.02,1647859877
lavrentiya,RU,65.5833,-8.25,88,34,4.34,1647859975
salalah,OM,17.0151,83.26,20,2,7.29,1647859976
guanay,BO,-15.4975,68.23,100,91,1.25,1647859976
tselinnoye,RU,53.0833,24.66,88,57,8.05,1647859977
margate,GB,51.3813,54.1,71,15,1.01,1647859978
bismarck,US,46.8083,39.87,83,99,15.01,1647859979
sjovegan,NO,68.8726,43.21,90,100,19.66,1647859980
bada,RU,51.392,16.92,91,36,3.29,1647859981
codrington,AU,-38.2667,60.62,83,100,5.95,1647859982
mayumba,GA,-3.432,81.52,73,100,4.68,1647859983
mizoch,UA,50.4,48.58,47,0,8.66,1647859983
correntina,BR,-13.3433,74.46,66,89,3.13,1647859984
katangli,RU,51.7102,13.71,81,66,9.44,1647859985
musoma,TZ,-1.5,81.54,57,3,17.94,1647859986
rawson,AR,-43.3002,63.01,50,90,28.57,1647859743
constitucion,CL,-35.3333,59.2,83,78,6.58,1647859987
bereda,ES,43.2686,59.14,61,49,6.33,1647859988
christchurch,NZ,-43.5333,61.0,90,75,16.11,1647859800
bongaree,AU,-27.0797,73.42,74,0,13.04,1647859989
porto torres,IT,40.835,57.38,54,6,20.65,1647859990
dalmatovo,RU,56.26,31.48,83,100,11.14,1647859991
kuito,AO,-12.3833,68.59,78,100,6.31,1647859992
arkhipo-osipovka,RU,44.37,45.43,41,32,11.61,1647859993
tasiilaq,GL,65.6145,-1.66,61,2,5.95,1647859993
khorixas,NA,-20.3667,88.02,38,12,17.02,1647859994
korhogo,CI,9.45,93.27,39,64,5.7,1647859995
rio gallegos,AR,-51.6226,42.85,87,0,8.05,1647859758
coffeyville,US,37.0373,54.91,53,75,4.61,1647859804
pacific grove,US,36.6177,47.66,85,77,1.99,1647859997
mount gambier,AU,-37.8333,58.91,88,97,6.91,1647859998
de aar,ZA,-30.6497,77.34,33,1,2.86,1647859999
piacabucu,BR,-10.4056,82.96,69,78,6.96,1647859999
sambava,MG,-14.2667,81.45,85,81,13.2,1647860000
diamantino,BR,-14.4086,72.27,95,77,1.92,1647860001
chaman,PK,30.9236,74.8,11,0,5.06,1647860002
morvi,IN,22.8167,99.03,9,2,10.92,1647860003
sitka,US,57.0531,44.49,65,100,11.5,1647859839
tukrah,LY,32.5341,53.37,58,84,25.3,1647860006
shingu,JP,33.7333,50.27,70,95,2.26,1647860006
yumen,CN,40.2833,38.89,40,100,12.84,1647860008
cap malheureux,MU,-19.9842,87.48,74,46,4.0,1647860008
likasi,CD,-10.9814,72.72,75,93,6.2,1647860009
rypefjord,NO,70.6333,39.67,70,75,36.82,1647860011
keflavik,IS,64.0049,36.03,75,100,12.66,1647860011
mount isa,AU,-20.7333,87.57,30,43,6.91,1647860012
cravo norte,CO,6.3017,80.98,58,96,5.64,1647860013
ostrovnoy,RU,68.0531,36.57,81,87,22.24,1647860014
graaff-reinet,ZA,-32.2522,82.45,34,3,6.87,1647860015
fortuna,US,40.5982,39.65,95,75,6.91,1647860015
anori,BR,-3.7728,72.88,99,100,2.15,1647860016
tiruchchendur,IN,8.4833,93.49,63,15,19.35,1647860017
biak,ID,-0.9131,75.38,83,100,2.21,1647860018
padang,ID,-0.9492,87.85,76,52,2.55,1647860018
lukovetskiy,RU,64.2956,35.47,82,58,6.2,1647860020
narsaq,GL,60.9167,5.83,61,0,5.95,1647860021
coquimbo,CL,-29.9533,56.93,88,100,3.44,1647860021
barbacena,BR,-21.2258,60.31,94,100,6.91,1647860023
surt,LY,31.2089,57.34,51,76,17.07,1647860024
itarema,BR,-2.9248,79.39,83,87,9.17,1647860024
bonavista,CA,48.6499,29.75,95,100,29.64,1647860025
ayan,RU,56.45,11.12,71,0,12.44,1647860026
makat,KZ,47.6469,39.96,65,94,20.45,1647860027
timbiqui,CO,2.7717,74.08,96,95,5.12,1647860027
jacksonville,US,30.3322,53.6,80,0,0.0,1647859884
ambilobe,MG,-13.2,86.7,72,97,0.51,1647860029
colac,AU,-38.3333,60.84,94,76,4.99,1647860030
concordia,AR,-31.393,57.27,80,75,9.22,1647860031
dingle,PH,10.9995,79.45,81,92,7.07,1647860032
waingapu,ID,-9.6567,80.94,81,93,4.52,1647860033
andapa,MG,-14.65,78.42,85,98,3.49,1647860034
magnolia,US,33.2671,42.49,78,70,6.13,1647859939
shaunavon,CA,49.6501,24.58,52,20,11.65,1647860035
samarai,PG,-10.6167,84.61,73,76,7.09,1647860036
bengkulu,ID,-3.8004,81.36,74,82,4.29,1647860037
alekseyevsk,RU,57.8406,26.2,84,100,10.71,1647860038
staroaleyskoye,RU,51.0061,27.27,80,45,16.69,1647860039
kanganpur,PK,30.7663,102.63,6,0,4.85,1647860039
seabra,BR,-12.4186,71.4,73,6,3.87,1647860040
abu dhabi,AE,24.4667,84.31,51,0,6.91,1647860041
lata,PT,40.1629,66.07,74,96,8.77,1647860042
paracuru,BR,-3.41,81.1,82,93,7.63,1647860042
hurricane,US,37.1753,45.07,34,46,14.27,1647860043
abrego,CO,8.0807,61.23,91,52,4.7,1647860045
husavik,IS,66.0449,29.55,74,100,6.8,1647860046
santiago del estero,AR,-27.7951,64.17,52,100,4.45,1647860047
muli,MV,2.9167,83.82,67,7,15.99,1647860047
boshnyakovo,RU,49.6333,17.06,77,95,6.08,1647860048
istok,XK,42.7808,43.36,45,0,8.57,1647860049
veraval,IN,20.9,84.78,54,25,14.5,1647860050
pervomayskoye,RU,43.919,44.51,26,0,4.41,1647860052
mae sai,TH,20.4335,80.46,64,60,1.43,1647860052
emirdag,TR,39.0197,34.16,39,42,9.4,1647860053
sulangan,PH,11.1373,82.72,77,99,9.33,1647860054
menzelinsk,RU,55.7271,31.75,78,55,15.03,1647860055
san cristobal,VE,7.7669,66.38,77,88,1.16,1647860056
leningradskiy,RU,69.3833,-8.68,89,19,4.72,1647860056
teguise,ES,29.0605,64.62,49,40,10.36,1647859768
oyama,JP,36.3,55.58,46,76,6.98,1647860058
manakara,MG,-22.1333,78.44,58,40,6.71,1647860059
matagami,CA,49.7502,17.71,86,100,9.22,1647860059
desbiens,CA,48.4178,30.85,86,95,11.48,1647860060
gladstone,AU,-23.85,76.93,69,1,4.61,1647860061
beaverlodge,CA,55.2166,24.15,74,96,5.88,1647859836
navashino,RU,55.5292,40.1,82,69,12.95,1647860062
olinda,BR,-8.0089,78.53,94,75,5.75,1647860064
banamba,ML,13.55,98.1,10,53,11.65,1647860065
camana,PE,-16.6228,69.22,86,98,6.38,1647860066
high level,CA,58.5169,23.11,93,0,10.36,1647860067
korbach,DE,51.2756,59.59,45,0,7.07,1647860068
meulaboh,ID,4.1363,82.26,74,73,6.08,1647860069
manono,CD,-7.3,83.21,63,100,3.76,1647860069
beyneu,KZ,45.3167,39.61,45,3,18.75,1647860070
walvis bay,NA,-22.9575,70.09,63,48,8.72,1647860071
fioletovo,AM,40.7224,23.99,88,99,6.82,1647860072
arman,RU,59.7,28.02,88,100,9.82,1647860073
guarapari,BR,-20.6667,78.89,77,39,11.9,1647859876
muisne,EC,0.6,75.9,90,99,5.75,1647860075
zamora,EC,-4.0692,67.62,99,100,0.63,1647860075
tarko-sale,RU,64.9225,27.95,83,92,9.15,1647860076
severo-kurilsk,RU,50.6789,28.36,88,97,36.24,1647860077
biaora,IN,23.8667,98.37,8,0,14.12,1647860078
nantucket,US,41.2835,44.71,72,100,14.97,1647859878
saint-joseph,RE,-21.3667,79.18,86,93,13.6,1647860079
zhigansk,RU,66.7697,8.6,91,99,7.52,1647860080
kiama,AU,-34.6833,70.0,86,0,1.77,1647860081
zhireken,RU,52.8249,10.69,92,68,4.14,1647860082
otane,NZ,-39.8833,65.01,98,100,9.33,1647860082
arlit,NE,18.7369,97.25,7,36,5.88,1647860083
khani,GE,41.9563,42.37,94,94,1.66,1647860084
maldonado,UY,-34.6667,54.79,63,0,8.9,1647860085
tagusao,PH,9.1924,77.16,87,100,2.06,1647860086
asau,RO,46.4333,50.95,26,17,11.34,1647860086
chincha alta,PE,-13.4099,64.99,82,99,1.77,1647860087
cabra,ES,37.4725,60.19,61,65,11.12,1647860088
tagbac,PH,7.089,72.79,94,100,3.18,1647860089
santa fe,AR,-31.6333,62.02,67,82,8.01,1647860090
akdepe,TM,42.0551,46.49,26,11,9.24,1647860090
banepa,NP,27.6298,75.52,47,40,13.8,1647860091
port macquarie,AU,-31.4333,65.89,88,1,3.44,1647860092
miranda,CO,3.2499,66.33,93,99,2.82,1647860093
sao joao da barra,BR,-21.6403,77.09,84,100,10.16,1647859873
port hardy,CA,50.6996,44.6,87,100,18.41,1647860095
perth,AU,-31.9333,78.1,49,0,12.66,1647860071
lompoc,US,34.6391,51.93,84,0,21.99,1647860010
kaolack,SN,14.1825,78.85,23,35,11.14,1647860097
neuquen,AR,-38.9516,53.49,76,0,3.44,1647859820
labytnangi,RU,66.6572,17.28,88,10,3.2,1647860098
pozo colorado,PY,-23.4923,73.67,74,15,5.82,1647860099
sungairaya,ID,0.7,81.19,81,97,2.3,1647860100
mafinga,TZ,-7.25,82.11,53,100,5.3,1647860101
marfino,RU,55.7028,50.14,40,0,13.42,1647860102
maloy,NO,61.9353,47.93,58,0,0.65,1647860104
malartic,CA,48.1335,25.02,80,96,8.75,1647860104
tomatlan,MX,19.9333,61.63,34,24,2.64,1647860105
seydi,TM,39.4816,53.28,30,99,11.61,1647860106
salta,AR,-24.7859,58.57,92,100,2.3,1647860107
byron bay,AU,-28.65,73.29,75,16,10.0,1647860103
comapa,GT,14.1167,58.5,79,2,6.44,1647860108
batagay-alyta,RU,67.8006,-21.62,95,6,5.77,1647860109
blagoyevo,RU,63.3667,31.08,79,100,8.61,1647860110
benavente,ES,42.0025,52.77,64,100,8.46,1647860111
dori,BF,14.0354,100.26,10,17,11.59,1647860111
bella union,UY,-30.2752,57.87,63,32,13.29,1647860112
shimoda,JP,34.6667,51.26,77,87,4.68,1647860113
kaniv,UA,49.7518,47.82,59,3,11.92,1647860114
virginia beach,US,36.8529,51.85,58,0,9.22,1647860114
mwingi,KE,-0.9344,90.32,30,0,10.11,1647860115
palembang,ID,-2.9167,86.09,70,20,3.44,1647860116
nuuk,GL,64.1835,-11.06,86,8,7.52,1647859818
isangel,VU,-19.55,80.64,87,100,15.68,1647860117
obeliai,LT,55.9667,50.65,47,0,4.65,1647860118
valley city,US,46.9233,36.7,90,100,9.19,1647860119
lahat,ID,-3.8,80.89,78,74,2.37,1647860120
hobyo,SO,5.3505,83.77,58,2,13.4,1647860120
challans,FR,46.8436,59.92,79,69,16.2,1647860121
grand gaube,MU,-20.0064,88.38,73,52,5.01,1647860122
ambulu,ID,-8.345,78.78,86,95,2.15,1647860123
